Date,Move Minutes count,Calories (kcal),Distance (m),Heart Points,Heart Minutes,Average heart rate (bpm),Max heart rate (bpm),Min heart rate (bpm),Low latitude (deg),Low longitude (deg),High latitude (deg),High longitude (deg),Average speed (m/s),Max speed (m/s),Min speed (m/s),Step count,Average weight (kg),Max weight (kg),Min weight (kg),Biking duration (ms),Inactive duration (ms),Walking duration (ms),Running duration (ms),Calisthenics duration (ms),Other duration (ms)
2021-10-19,9,152.29999923706055,,9.0,9,,,,,,,,,,,,,,,,,,,685770,
2021-10-20,15,206.899995803833,,15.0,15,,,,,,,,,,,,,,,,,,,993930,
2021-10-21,8,163.0,,8.0,8,,,,,,,,,,,,,,,,,,,582691,
2021-10-25,10,146.69999408721924,,10.0,10,,,,,,,,,,,,,,,,,,,715140,
2021-10-26,392,87.59999771416187,,392.0,392,,,,,,,,,,,,,,,,,,,23670167,
2021-10-27,22,438.3999900817871,,22.0,22,,,,,,,,,,,,,,,,,,,1802575,
2021-10-28,10,216.59999656677246,,10.0,10,,,,,,,,,,,,,,,,,,,799772,
2021-10-29,9,137.89999389648438,,9.0,9,,,,,,,,,,,,,,,,,,,610654,
2021-11-01,18,282.8999938964844,,18.0,18,,,,,,,,,,,,,,,,,,,1169383,
2021-11-17,7,85.5999984741211,,7.0,7,,,,,,,,,,,,,,,,,,,502317,
2022-02-01,,12.600000381469727,,,,,,,,,,,,,,,,,,,,,,30127,
2022-02-09,2,65.0999984741211,,2.0,2,,,,,,,,,,,,,,,,,,,180814,
2022-07-09,,308.7904406357363,,,,,,,,,,,,,,,,,,,,,,,
2022-07-10,,1478.6011962890625,,,,,,,,,,,,,,,,,,,,,,,
2022-07-11,2,1551.1002265144405,,2.0,2,,,,,,,,,,,,,,,,,,,181199,
2022-07-12,2,766.245772769295,,2.0,2,,,,,,,,,,,,,,,,,,,226802,
2022-07-13,,1478.6010352964568,,,,,,,,,,,,,,,,,,,,,,,
2022-07-14,6,1616.0170010178542,,6.0,6,,,,,,,,,,,,64.41011810302734,64.41011810302734,64.41011810302734,,,,,715634,
2022-07-15,21,1651.036336030653,429.80001878738403,8.0,8,,,,,,,,0.39263523311396553,1.1149574518203735,0.26389962434768677,981,,,,,,451783,,839625,
2022-07-16,15,1760.3627986507972,103.48636388778687,13.0,13,,,,,,,,0.2827394017844877,0.28274962306022644,0.2733246386051178,236,63.502933502197266,63.502933502197266,63.502933502197266,,,243116,,1217823,
2022-07-17,15,1551.6709424491771,371.16972064971924,5.0,5,,,,,,,,0.5417226051334205,1.0419378280639648,0.26720118522644043,706,,,,,,211930,,422375,
2022-07-18,19,1629.8558467614946,297.70886635780334,9.0,9,,,,,,,,0.45023508263735357,1.0269536972045898,0.2544746398925781,821,64.22867584228516,64.22867584228516,64.22867584228516,,,314565,,731664,
2022-07-19,17,1575.5671571335436,353.99066162109375,7.0,7,,,,,,,,0.3803050585440876,0.9561142325401306,0.28274959325790405,770,63.41221618652344,63.41221618652344,63.41221618652344,,,59297,,547005,
2022-07-20,17,1711.9483669092783,215.47118067741394,14.0,14,,,,,,,,0.2898227771715504,0.4784257411956787,0.28128084540367126,444,,,,,,222632,,1146079,
2022-07-21,3,1390.3720989471146,132.50075817108154,,,,,,,,,,0.3555176912175019,0.8137831091880798,0.2544746398925781,309,,,,,,,,,
2022-07-22,30,1500.3566756035225,921.912501335144,2.0,2,,,,,,,,0.5040840826807689,0.994988739490509,0.2544746398925781,1948,,,,,,774216,,191320,
2022-07-23,25,1456.6873627253158,998.2239291071892,1.0,1,,,,,,,,0.3713527497322006,1.3650022745132446,0.2544746398925781,1998,,,,,,1304318,,,
2022-07-24,6,1407.795904799986,289.4696125984192,,,,,,,,,,0.5149674718791923,0.9751241207122803,0.2544746398925781,849,,,,,,342698,,,
2022-07-25,14,1397.1453315149338,420.78839111328125,,,,,,,,,,0.3690461799914508,1.0891196727752686,0.28274959325790405,975,,,,,,133218,,,
2022-07-26,7,1413.163787798007,392.9042339324951,,,,,,,,,,0.44959648176437716,1.1012626886367798,0.2733246386051178,856,,,,,,448276,,,
2022-07-27,34,1436.1500210090276,1010.44395840168,,,,,,,,,,0.583013533060823,1.19486665725708,0.2625114619731903,1999,,,,,,900380,,,
2022-07-28,6,1393.4370680831908,222.87968397140503,,,,,,,,,,0.31974354775634045,0.6339677572250366,0.26389962434768677,600,,,,,,60282,,,
2022-07-29,15,1435.9605086186518,577.0307718515396,,,,,,,,,,0.3702511400405952,1.1937769651412964,0.2733246386051178,1354,,,,,,896653,,,
2022-07-30,34,1444.9605521892865,1166.7394244670868,,,,,,,,,,0.4316716200633518,1.4376733303070068,0.25609859824180603,2283,,,,,,1073671,,,
2022-07-31,29,1452.277760845546,1211.6709858179092,4.0,4,,,,,,,,0.6521500088686231,1.3964520692825317,0.25704512000083923,2306,,,,,,1076157,61981,,
2022-08-01,40,1455.192750938337,1644.9734165668488,11.0,11,,,,,,,,0.44618965736802035,1.2778778076171875,0.28100672364234924,2799,,,,,,1274922,,,
2022-08-02,1,1390.3721368731774,63.90141487121582,,,,,,,,,,0.31398017704486847,0.3452107310295105,0.28274962306022644,172,,,,,,,,,
2022-08-03,124,1761.210814284722,7090.638111710548,61.0,61,,,,,,,,0.8374843545740471,1.4438180923461914,0.2544746398925781,11695,,,,,,7293822,,,
2022-08-04,,1395.717436685528,,,,,,,,,,,,,,83,,,,,,105134,,,
2022-08-05,84,1646.9544877049314,3978.4714443683624,20.0,20,,,,,,,,0.7757697849211843,1.3194233179092407,0.26389962434768677,7040,,,,,,5046578,,,
